IRRIGATION_HAUTEURS_PLUIE_PREVUES_MIN;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_P-ETP;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_P-ETP_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_HUMIDITE_SOL_MAX;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_IS_THEORIQUE;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR1;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_SIRR3;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_OPERATEUR;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IRRIGATION_REPORT_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_GROUPE;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
IRRIGATION_TEMPERATURE_MAX_INF;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
IRRIGATION_JOURS_TEMP_MAX_INF;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_FERTI;;NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
FERTI_PASSAGES;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
FERTI_OUTIL;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_AGRIW;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_NB_SOUS_PERIODES;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_TEMPS;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_DEBUT;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_FIN;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_DOSE/Ha;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_JOURS_PLUIE_OBS_MIN;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_HAUTEURS_PLUIE_OBS_MIN;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_ECHV_DEBUT;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_ECHV_FIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
FERTI_TEMPERATURE_MAX_INF;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
FERTI_JOURS_TEMP_MAX_INF;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_PHYTO;;NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
PHYTO_PASSAGES;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_OUTIL;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_AGRIW;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_TEMPS;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_DOSE/Ha;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_NB_SOUS_PERIODES;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_DEBUT;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_FIN;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_HUMIDITE_SOL_MAX;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_PLUIE_OBS;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_HAUTEURS_PLUIE_OBS_MIN;;;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_PLUIE_PREVUES;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_HAUTEURS_PLUIE_PREVUES_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MIN;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MAX;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_TEMPERATURE_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_TEMP_MAX_INF;;N;NA;NA;NA;NA;NA;NA;N;NA;NA;NA;NA;NA;NA
PHYTO_JOURS_HYGROMETERIE;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PHYTO_HYGROMETERIE;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
IS_PREPA_2;;NA;N;N;N;N;N;N;NA;N;N;N;N;N;N
PREPA_PASSAGES_2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_OUTIL_2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
PREPA_AGRIW_2;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
